Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0603_1608Metric,26.275,42.75,180.0,top
C10,1nF,C_0603_1608Metric,38.25,4.975,-90.0,top
C11,1nF,C_0603_1608Metric,38.25,8.725,90.0,top
C12,1nF,C_0603_1608Metric,81.25,43.5,180.0,top
C13,100nF,C_0603_1608Metric,59.2,41.25,0.0,top
C14,47pF,C_0603_1608Metric,57.0,61.75,90.0,top
C15,100nF,C_0603_1608Metric,58.75,30.25,0.0,top
C16,100nF,C_0603_1608Metric,59.25,46.75,90.0,top
C17,100nF,C_0603_1608Metric,44.0,50.75,90.0,top
C18,100nF,C_0603_1608Metric,45.633,50.73,90.0,top
C19,100nF,C_0603_1608Metric,37.075,44.25,180.0,top
C2,220nF,C_0603_1608Metric,26.275,41.25,180.0,top
C20,220nF,C_0603_1608Metric,37.075,42.75,180.0,top
C21,100nF,C_0603_1608Metric,81.25,45.5,180.0,top
C22,100nF,C_0603_1608Metric,58.75,28.75,0.0,top
C23,100nF,C_0603_1608Metric,77.5,22.85,90.0,top
C24,1nF,C_0603_1608Metric,63.75,46.5,-90.0,top
C25,100nF,C_0603_1608Metric,62.25,46.5,-90.0,top
C26,22pF,C_0603_1608Metric,71.75,55.5,0.0,top
C27,22pF,C_0603_1608Metric,66.25,55.5,180.0,top
C28,100nF,C_0603_1608Metric,58.75,31.75,0.0,top
C29,100nF,C_0603_1608Metric,76.0,22.85,90.0,top
C3,100nF,C_0603_1608Metric,52.0,38.0,90.0,top
C30,12pF,C_0603_1608Metric,74.25,48.25,180.0,top
C31,12pF,C_0603_1608Metric,77.25,48.25,0.0,top
C32,100nF,C_0603_1608Metric,24.0,46.5,180.0,top
C33,220nF,C_0603_1608Metric,24.0,45.0,180.0,top
C34,100nF,C_0603_1608Metric,58.5,61.75,90.0,top
C35,220nF,C_0603_1608Metric,59.3875,57.925,180.0,top
C36,100nF,C_0603_1608Metric,94.75,8.75,0.0,top
C37,2.2nF,C_0603_1608Metric,90.75,9.75,180.0,top
C39,10uF,C_0603_1608Metric,93.7,43.95,90.0,top
C4,47u 50v,CP_Elec_6.3x7.7,16.75,58.75,90.0,top
C40,100nF,C_0603_1608Metric,40.25,51.75,180.0,top
C41,10uF,C_0603_1608Metric,40.25,53.25,180.0,top
C42,10uF,C_0603_1608Metric,43.74,61.5,90.0,top
C43,100nF,C_0603_1608Metric,45.25,61.5,90.0,top
C44,100nF,C_0603_1608Metric,81.0,17.725,90.0,top
C45,100nF,C_0603_1608Metric,97.2,23.25,-90.0,top
C46,100nF,C_0603_1608Metric,97.25,9.5,90.0,top
C47,100nF,C_0603_1608Metric,103.0,15.25,180.0,top
C48,100nF,C_0603_1608Metric,90.75,17.5,0.0,top
C5,47u 50v,CP_Elec_6.3x7.7,31.75,58.75,90.0,top
C6,100nF,C_0603_1608Metric,24.75,38.25,90.0,top
C7,220nF,C_0603_1608Metric,29.25,38.25,-90.0,top
C8,100nF,C_0603_1608Metric,26.25,34.475,90.0,top
C9,220nF,C_0603_1608Metric,29.25,34.475,-90.0,top
D1,1N4004,D_SMA,27.5,29.22,-90.0,top
D10,BAT54S,SOT-23,32.0,34.5,180.0,top
D11,1N4007-A7,D_SOD-123,77.25,2.75,0.0,top
D12,1N4007-A7,D_SOD-123,55.5,2.75,180.0,top
D13,BAT54S,SOT-23,32.0,45.75,180.0,top
D14,BAT54S,SOT-23,45.25,19.5,-90.0,top
D15,1N4004,D_SMA,27.5,22.25,90.0,top
D16,1N4007-A7,D_SOD-123,62.75,2.75,0.0,top
D17,BAT54S,SOT-23,58.75,52.0,0.0,top
D18,BAT54S,SOT-23,42.25,43.5,180.0,top
D19,BAT54S,SOT-23,87.75,54.5,90.0,top
D2,BAT54S,SOT-23,48.75,19.5,-90.0,top
D20,BAT54S,SOT-23,85.75,21.5,-90.0,top
D21,BAT54S,SOT-23,81.75,21.5,-90.0,top
D3,60V 1A,D_SMA,19.75,50.0,180.0,top
D4,1N4007-A7,D_SOD-123,95.9,44.7,-90.0,top
D5,BAT54S,SOT-23,58.5625,26.25,0.0,top
D6,BAT54S,SOT-23,31.275,42.0,180.0,top
D7,1SMB5919BT3G,D_SMB,27.25,50.0,180.0,top
